Quarter,Return,Volatility,Top_Return,Top_Volatility
2020Q2,0.3549,0.4695,24.7%,79.6%
2020Q3,-0.0459,0.1986,98.9%,54.9%
2020Q4,0.2040,0.2029,31.2%,53.1%
2021Q1,0.0748,0.1746,78.7%,22.6%
2021Q2,0.0436,0.1302,67.8%,38.2%
2021Q3,0.0202,0.1412,18.6%,55.0%
2021Q4,0.1101,0.1670,30.2%,44.6%
2022Q1,-0.0798,0.2544,83.1%,78.0%
2022Q2,-0.1865,0.2822,85.1%,49.7%
2022Q3,-0.0500,0.2038,46.8%,23.5%
2022Q4,0.1780,0.2884,3.7%,76.1%
2023Q1,-0.0499,0.2176,97.4%,78.7%
2023Q2,-0.0186,0.1728,89.5%,72.7%
2023Q3,-0.0494,0.1328,49.1%,53.2%
2023Q4,0.1310,0.1807,47.3%,70.8%
2024Q1,0.0363,0.1103,81.7%,8.4%
2024Q2,0.0203,0.1320,16.2%,44.7%
2024Q3,0.0698,0.1823,76.8%,84.0%
2024Q4,0.0802,0.2118,3.7%,98.2%
2025Q1,-0.0915,0.2352,95.9%,96.8%
2025Q2,0.1029,0.3777,16.9%,92.3%
2025Q3,0.0902,0.1957,10.2%,98.1%
