Quarter,Return,Volatility,Top_Return,Top_Volatility
2020Q2,0.3527,0.4016,25.3%,49.4%
2020Q3,0.0299,0.1800,79.5%,28.3%
2020Q4,0.1819,0.1807,46.6%,25.7%
2021Q1,0.0408,0.1827,91.2%,31.0%
2021Q2,0.0458,0.1286,65.3%,35.4%
2021Q3,-0.0631,0.1439,95.9%,60.6%
2021Q4,0.0735,0.1566,57.9%,29.2%
2022Q1,-0.0841,0.1767,85.0%,11.0%
2022Q2,-0.1829,0.3185,83.2%,82.4%
2022Q3,-0.0574,0.1880,55.8%,7.6%
2022Q4,-0.0169,0.2229,96.7%,14.5%
2023Q1,-0.0208,0.1501,89.4%,1.6%
2023Q2,0.0181,0.1768,67.4%,77.6%
2023Q3,0.0134,0.1590,8.3%,90.2%
2023Q4,0.1093,0.1859,66.2%,76.8%
2024Q1,0.0486,0.1211,74.4%,22.4%
2024Q2,-0.0079,0.1027,39.5%,1.2%
2024Q3,0.0297,0.2117,94.1%,96.5%
2024Q4,0.1778,0.2141,0.1%,98.6%
2025Q1,-0.0535,0.2439,84.4%,97.9%
2025Q2,0.0825,0.3772,26.7%,91.9%
2025Q3,-0.0628,0.1517,98.6%,72.5%
