Ticker,Cluster_ID,Sector
A,0,Health Care
AAPL,0,Information Technology
ABT,0,Health Care
ADBE,0,Information Technology
ADI,0,Information Technology
ADP,0,Industrials
AKAM,0,Information Technology
ALB,0,Materials
AMAT,0,Information Technology
AMD,0,Information Technology
AMZN,0,Consumer Discretionary
APH,0,Information Technology
BBY,0,Consumer Discretionary
CDNS,0,Information Technology
CF,0,Materials
CHRW,0,Industrials
CMG,0,Consumer Discretionary
CPRT,0,Industrials
CRL,0,Health Care
CRM,0,Information Technology
DAY,0,Industrials
DG,0,Consumer Staples
DGX,0,Health Care
DHR,0,Health Care
DPZ,0,Consumer Discretionary
DXCM,0,Health Care
EPAM,0,Information Technology
EW,0,Health Care
EXPD,0,Industrials
FDS,0,Financials
FTNT,0,Information Technology
GEN,0,Information Technology
GNRC,0,Industrials
GOOG,0,Communication Services
GOOGL,0,Communication Services
HAS,0,Consumer Discretionary
HD,0,Consumer Discretionary
HOLX,0,Health Care
HPQ,0,Information Technology
ICE,0,Financials
IDXX,0,Health Care
INCY,0,Health Care
INTU,0,Information Technology
IQV,0,Health Care
ISRG,0,Health Care
IT,0,Information Technology
KEYS,0,Information Technology
KLAC,0,Information Technology
LH,0,Health Care
LOW,0,Consumer Discretionary
LRCX,0,Information Technology
LULU,0,Consumer Discretionary
MCHP,0,Information Technology
MCO,0,Financials
MOS,0,Materials
MPWR,0,Information Technology
MRNA,0,Health Care
MSCI,0,Financials
MSFT,0,Information Technology
MTCH,0,Communication Services
MTD,0,Health Care
MU,0,Information Technology
NDAQ,0,Financials
NDSN,0,Industrials
NFLX,0,Communication Services
NKE,0,Consumer Discretionary
NOW,0,Information Technology
NTAP,0,Information Technology
NVDA,0,Information Technology
NXPI,0,Information Technology
ON,0,Information Technology
PANW,0,Information Technology
PAYC,0,Industrials
PAYX,0,Industrials
PODD,0,Health Care
POOL,0,Consumer Discretionary
PTC,0,Information Technology
QCOM,0,Information Technology
REGN,0,Health Care
RVTY,0,Health Care
SNPS,0,Information Technology
SPGI,0,Financials
STX,0,Information Technology
SWKS,0,Information Technology
TECH,0,Health Care
TER,0,Information Technology
TGT,0,Consumer Staples
TMO,0,Health Care
TRMB,0,Information Technology
TSCO,0,Consumer Discretionary
TXN,0,Information Technology
TYL,0,Information Technology
VRSN,0,Information Technology
WAT,0,Health Care
WDC,0,Information Technology
WMT,0,Consumer Staples
WST,0,Health Care
WY,0,Real Estate
XYZ,0,Financials
ZTS,0,Health Care
ABBV,1,Health Care
AEE,1,Utilities
AEP,1,Utilities
AMCR,1,Materials
AME,1,Industrials
AMGN,1,Health Care
ATO,1,Utilities
AWK,1,Utilities
BAX,1,Health Care
BDX,1,Health Care
BF-B,1,Consumer Staples
BMY,1,Health Care
CAG,1,Consumer Staples
CHD,1,Consumer Staples
CL,1,Consumer Staples
CLX,1,Consumer Staples
CMS,1,Utilities
CNP,1,Utilities
CPB,1,Consumer Staples
CSCO,1,Information Technology
CTAS,1,Industrials
D,1,Utilities
DLTR,1,Consumer Staples
DTE,1,Utilities
DUK,1,Utilities
ECL,1,Materials
ED,1,Utilities
EFX,1,Industrials
EIX,1,Utilities
ES,1,Utilities
ETR,1,Utilities
EVRG,1,Utilities
EXC,1,Utilities
FAST,1,Industrials
FE,1,Utilities
FTV,1,Industrials
GILD,1,Health Care
GIS,1,Consumer Staples
GWW,1,Industrials
HON,1,Industrials
HRL,1,Consumer Staples
HSY,1,Consumer Staples
IEX,1,Industrials
ITW,1,Industrials
JNJ,1,Health Care
K,1,Consumer Staples
KDP,1,Consumer Staples
KHC,1,Consumer Staples
KMB,1,Consumer Staples
KO,1,Consumer Staples
KR,1,Consumer Staples
LIN,1,Materials
LLY,1,Health Care
LNT,1,Utilities
MDLZ,1,Consumer Staples
MKC,1,Consumer Staples
MMM,1,Industrials
MO,1,Consumer Staples
NEE,1,Utilities
NEM,1,Materials
NI,1,Utilities
PCG,1,Utilities
PEG,1,Utilities
PEP,1,Consumer Staples
PG,1,Consumer Staples
PGR,1,Financials
PKG,1,Materials
PM,1,Consumer Staples
PNW,1,Utilities
PPG,1,Materials
PPL,1,Utilities
RSG,1,Industrials
SJM,1,Consumer Staples
SO,1,Utilities
SRE,1,Utilities
SWK,1,Industrials
TMUS,1,Communication Services
