source,target,weight
A,BDX,0.4458393570968962
A,DHR,0.44919773763410237
A,DOV,0.4186044975315268
A,GD,0.44405066669707843
A,IQV,0.5628317181912272
A,LH,0.4535085837768534
A,MTD,0.6176233694875867
A,PFE,0.4108944084905105
A,RVTY,0.6124310184326136
A,STE,0.4848281008002096
A,TECH,0.6026108838075884
A,TMO,0.6825569427803928
A,TXT,0.41514516279711083
A,VTRS,0.48587230132372494
A,WAT,0.7739145951955568
AAPL,AMAT,-0.43248556891829254
AAPL,ANET,-0.5048137789044967
AAPL,APH,-0.4370696048832018
AAPL,AVGO,-0.41597759059397005
AAPL,CEG,-0.45228602719342254
AAPL,DLR,-0.5839656127916075
AAPL,EQIX,-0.4018896434154388
AAPL,EQT,-0.4703612097652644
AAPL,ETN,-0.5819878380447332
AAPL,ETR,-0.4567852823834745
AAPL,HUBB,-0.4558769130590299
AAPL,IRM,-0.5287912177923482
AAPL,JBL,-0.43351706301613513
AAPL,KLAC,-0.4737100695512532
AAPL,KMI,-0.6029050670732373
AAPL,LRCX,-0.4210581607120762
AAPL,MU,-0.46434632743917703
AAPL,NRG,-0.6213440908155
AAPL,OKE,-0.41156885990145864
AAPL,ORCL,-0.5432038088137005
AAPL,PEG,-0.590343555513215
AAPL,PWR,-0.6524239258233971
AAPL,TRGP,-0.5145586805512257
AAPL,TT,-0.5357318378675177
AAPL,WDC,-0.5320989866016896
AAPL,WMB,-0.585368110578638
ABBV,ABT,0.4328701435847324
ABBV,ADP,0.44832371331884713
ABBV,AEE,0.42117433226547935
ABBV,AEP,0.4675337854899021
ABBV,AMGN,0.4734371622564934
ABBV,AMT,0.44489566481951787
ABBV,ATO,0.4744828844158077
ABBV,AVB,0.49704745129601985
ABBV,AVY,0.4369905782828488
ABBV,AWK,0.5273022903742105
ABBV,BMY,0.4646773587332129
ABBV,CB,0.4289856370568875
ABBV,CCI,0.4961094061094163
ABBV,CHD,0.4087840747369755
ABBV,CI,0.4048496456635427
ABBV,CME,0.41946814173536595
ABBV,CMS,0.4709364324546442
ABBV,CPT,0.4638403123107025
ABBV,D,0.5519964766271322
ABBV,DOC,0.4743291076422835
ABBV,DRI,0.41401668310008544
ABBV,DTE,0.48809916069583115
ABBV,DUK,0.5313167498765282
ABBV,ED,0.4677691277447645
ABBV,EQR,0.5081050239395871
ABBV,ES,0.5180792424441365
ABBV,ESS,0.4956276456071851
ABBV,EVRG,0.4110852868084509
ABBV,EXC,0.5277843879858464
ABBV,EXR,0.43280279870394334
ABBV,FRT,0.46547106910811853
ABBV,GIS,0.42653466457595607
ABBV,INVH,0.4651942530127978
ABBV,JNJ,0.464265407059731
ABBV,KIM,0.40208222011726835
ABBV,KMB,0.44056105725737377
ABBV,KR,0.42061678910012623
ABBV,LNT,0.42810823784633345
ABBV,MAA,0.5282544995341252
ABBV,MKC,0.4516849958545154
ABBV,MO,0.5188540336985387
ABBV,MRK,0.43007421581127386
ABBV,NVDA,-0.4106996544582283
ABBV,O,0.5821667814958427
ABBV,OTIS,0.4036227022860169
ABBV,PFE,0.42860915722302406
ABBV,PG,0.4605536194693173
ABBV,PNW,0.4783169469147539
ABBV,PPL,0.5152298932024237
ABBV,PSA,0.5331842895019209
ABBV,SBAC,0.5207727621761304
ABBV,SJM,0.43271011220972766
ABBV,SO,0.44231915299243757
ABBV,TSN,0.5538851953743875
ABBV,UDR,0.523673489463173
ABBV,VICI,0.5426208243159183
ABBV,VZ,0.4011440563991544
ABBV,WEC,0.4881091390621336
ABBV,XEL,0.46000988826812256
