Quarter,Return,Volatility,Sharpe_Ratio,Top_Return,Top_Volatility,Top_Sharpe
2020Q1,-0.2468746512368616,0.6394537944495632,-0.0949167201368395,55.1%,61.7%,49.7%
2020Q2,0.3559253648828613,0.335755352738819,0.2431335465694926,13.3%,7.8%,1.1%
2020Q3,0.08755313801817,0.1393725490881834,0.1561627084386751,30.1%,0.1%,9.6%
2020Q4,0.2069335990234571,0.1644547045369102,0.2937139799147669,26.5%,12.6%,2.3%
2021Q1,0.0772648010814802,0.1726713709975486,0.1194524125657166,94.2%,56.8%,95.4%
2021Q2,0.1146034765946599,0.1263021753494751,0.2240470867503108,1.2%,57.7%,2.2%
2021Q3,0.0071260428596038,0.1100700488962858,0.0196746132123976,28.1%,7.2%,26.5%
2021Q4,0.0655451249910854,0.1378953669736166,0.1203415474298514,77.0%,19.6%,70.0%
2022Q1,0.0347950502192457,0.222382536242822,0.0557168635407841,4.8%,73.9%,5.2%
2022Q2,-0.1333506741144627,0.2574571532922025,-0.1364885913892953,37.9%,23.7%,50.4%
2022Q3,-0.0841438534684783,0.202132157238014,-0.1032144777752847,94.0%,24.7%,94.2%
2022Q4,0.0844172207805999,0.2397332465684459,0.0939700836821146,49.8%,34.2%,46.8%
2023Q1,0.0849038741923318,0.1836559830868689,0.121241372866832,4.7%,64.6%,4.2%
2023Q2,0.0546612319514179,0.122055089479992,0.1172976136410346,36.7%,16.1%,31.3%
2023Q3,-0.0260816439381533,0.1210764521413448,-0.0521225025292667,8.9%,98.6%,5.7%
2023Q4,0.1271270293933624,0.1334637697094694,0.2339355353914898,55.9%,12.0%,29.2%
2024Q1,0.098758066778114,0.1004154683204136,0.2514509837499813,22.3%,12.2%,12.6%
2024Q2,0.0438733658458663,0.1087085797958057,0.1045358287442293,0.5%,26.6%,0.3%
2024Q3,0.1201107886190457,0.1602375104945637,0.1834912176485957,31.0%,82.3%,47.6%
2024Q4,0.0896424090908434,0.1516815477562416,0.1474103732660187,0.3%,96.1%,0.2%
2025Q1,-0.0875994243465558,0.2098171763741539,-0.1109358147347837,99.8%,100.0%,98.5%
2025Q2,0.096678419006561,0.3203012662030501,0.0848307603274533,6.9%,88.3%,9.1%
2025Q3,0.166148101751568,0.1211124785716595,0.3290807999943103,0.0%,54.0%,0.0%
Average,0.05817464599894619,0.19479155557849784,0.10442648787689497,33.9%,44.8%,30.1%
