Quarter,Return,Volatility,Sharpe_Ratio,Top_Return,Top_Volatility,Top_Sharpe
2020Q1,0.0792236522744125,0.7035163470858319,0.2350740227142732,4.9%,89.3%,3.7%
2020Q2,0.2442851766476304,0.2981417412903235,0.1972688354513359,86.4%,0.3%,29.1%
2020Q3,0.091556293115482,0.1402885811878838,0.1618101746130272,26.0%,0.1%,8.0%
2020Q4,0.1670296525343508,0.1642522809143076,0.2423490394705861,63.5%,12.3%,25.1%
2021Q1,0.0449682155839301,0.168969378718621,0.0741215285919669,99.7%,48.6%,99.7%
2021Q2,0.107434287780024,0.1259019671869354,0.2115868184501099,2.3%,56.1%,3.4%
2021Q3,0.0226612966023229,0.1209860525035483,0.050431851178357,9.9%,28.7%,9.2%
2021Q4,0.0985501317164387,0.1353593041214467,0.1792887344973702,27.8%,14.6%,19.4%
2022Q1,0.026642308643429,0.2163925722183738,0.0452724814224061,7.1%,65.6%,6.8%
2022Q2,-0.1304209810183441,0.2641297651520929,-0.1293032334966269,33.1%,33.5%,37.6%
2022Q3,-0.0903303020486772,0.1965086059518836,-0.1151953990668892,96.2%,13.9%,97.4%
2022Q4,0.1205228283834349,0.2448495688260863,0.1266115746080096,12.9%,43.6%,13.9%
2023Q1,0.1013525997703013,0.1731988119748763,0.150532923955318,1.3%,31.8%,0.9%
2023Q2,0.0803151527277277,0.1221640726735104,0.1684474595216802,9.7%,16.5%,8.1%
2023Q3,-0.0612545199244379,0.1213134178227106,-0.129576420370159,76.5%,98.7%,57.5%
2023Q4,0.1634260124988971,0.1417394401225214,0.2781613278397696,6.8%,30.9%,4.7%
2024Q1,0.1145179772653051,0.094151825577013,0.307864947616405,9.1%,4.1%,2.6%
2024Q2,-0.0226407544762756,0.1309115855660603,-0.0407167410297424,52.9%,93.2%,47.6%
2024Q3,0.1185601667680091,0.1665152091007715,0.1748554828301615,32.4%,88.5%,53.6%
2024Q4,0.1064595608358744,0.1618438832211158,0.1626532311915271,0.0%,99.1%,0.2%
2025Q1,-0.0795316813635776,0.2310900457695111,-0.0892410568145075,99.6%,100.0%,96.4%
2025Q2,0.1315262360596185,0.331880363753844,0.107070658639873,0.8%,93.2%,1.8%
2025Q3,0.2104264688617259,0.1294300404507327,0.3823599639411661,0.0%,75.4%,0.0%
Average,0.07153390344511314,0.19928412439956528,0.11964035677197468,33.0%,49.5%,27.2%
