Quarter,Return,Volatility,Sharpe_Ratio,Top_Return,Top_Volatility,Top_Sharpe
2020Q1,-0.1264144511123407,0.4951081208837212,-0.055583882460009,7.4%,0.2%,9.3%
2020Q2,0.201703247994939,0.3042434328033973,0.1642565935632906,98.6%,0.5%,79.6%
2020Q3,0.1057281844404729,0.1690687289666493,0.1551600329986869,12.5%,29.9%,10.1%
2020Q4,0.1249079128125596,0.1587928121655958,0.1918796195973421,90.4%,8.0%,78.2%
2021Q1,0.0729107791656282,0.168152329295348,0.1160092825494483,95.9%,47.0%,95.9%
2021Q2,0.0453779512613545,0.1208736510178813,0.0977906000443819,73.3%,40.4%,71.4%
2021Q3,0.0183900003708661,0.1087784812342901,0.0455991779059507,13.3%,5.5%,11.0%
2021Q4,0.1799736685233497,0.1395841295188614,0.3034574570612854,0.0%,24.9%,0.0%
2022Q1,-0.0757044974412779,0.2361686983465522,-0.0793749836547597,93.9%,88.7%,91.7%
2022Q2,-0.1171170446350051,0.2588329892748294,-0.1170345983308786,16.9%,25.1%,21.1%
2022Q3,-0.0614590671692796,0.1896582255491795,-0.0783288596059162,66.6%,6.9%,76.7%
2022Q4,0.0906065143619063,0.2219109319092762,0.1069861324045956,42.5%,9.5%,31.0%
2023Q1,0.0281115704519701,0.1696850789569448,0.0477899498126259,62.7%,22.6%,61.1%
2023Q2,-0.015018603602972,0.1332472086565502,-0.0254233344653419,99.5%,45.0%,99.4%
2023Q3,-0.0624701246749753,0.1100769843138476,-0.1465386320177907,79.2%,77.1%,73.2%
2023Q4,0.0993561330762959,0.1339216103431863,0.1853838338037735,91.4%,12.4%,80.0%
2024Q1,0.0282879857320301,0.1145101562795558,0.0680091478290473,97.5%,55.7%,97.0%
2024Q2,-0.0075610749963186,0.1228040246578461,-0.0120132013472224,31.5%,80.2%,30.4%
2024Q3,0.1247654444010815,0.1134310401963157,0.2649572344550917,26.0%,3.4%,7.7%
2024Q4,-0.0130942166147046,0.120233445129451,-0.0238922231311192,42.3%,28.4%,43.9%
2025Q1,0.0364853833124767,0.1172399865026195,0.0858948817275855,11.5%,0.2%,7.8%
2025Q2,0.0630896232440965,0.2404732561548455,0.0736476641904145,28.6%,4.9%,17.2%
2025Q3,-0.0209626121223481,0.1346482021077408,-0.0360961196364327,96.0%,83.7%,95.4%
Average,0.031299682903469794,0.17745406627236893,0.0579363379693065,55.5%,30.4%,51.7%
